Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Жиганск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2017;845;921;902;925;1005;2926;4962;4538;3427;827;821;854;22953
Игарка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2017;123970;120968;136045;134016;145715;177114;248798;251666;190446;155194;141072;148580;1973584
Кавалерово;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2017;130897;124250;***;***;***;***;***;***;***;***;***;***;***
Казачинское(Казачинск);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2017;109537;96353;109570;129806;162062;186246;218293;221051;166139;143564;124633;120843;1788097
Калуга;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
